EnsaioId;line;Conc Albumina;Conc Creatinina;Conc Ureia;Estadio;LED1_avg;LED2_avg;LED3_avg;LED4_avg;LED5_avg;LED6_avg
937;3;4,1;0,95;19;Estadio 0;2,66036;0,381944;2,65564;0,796192;2,66497;1,77637
937;3;4,1;0,95;19;Estadio 0;2,66048;0,381821;2,65572;0,794463;2,66519;1,77712
937;3;4,1;0,95;19;Estadio 0;2,66039;0,381847;2,65568;0,791097;2,665;1,77828
937;3;4,1;0,95;19;Estadio 0;2,66039;0,381827;2,65566;0,790278;2,66507;1,77989
937;3;4,1;0,95;19;Estadio 0;2,66039;0,381848;2,65572;0,789956;2,66514;1,78462
955;2;4,2;0,75;19;Estadio 0;2,66056;0,382927;2,65601;0,79447;2,66518;1,72012
955;2;4,2;0,75;19;Estadio 0;2,66057;0,382639;2,65602;0,794627;2,66526;1,72036
955;2;4,2;0,75;19;Estadio 0;2,66075;0,382541;2,65621;0,793436;2,66534;1,72068
955;2;4,2;0,75;19;Estadio 0;2,66044;0,38272;2,65598;0,795379;2,66512;1,72447
955;2;4,2;0,75;19;Estadio 0;2,66032;0,382799;2,65572;0,795907;2,66491;1,72142
955;2;4,2;0,75;19;Estadio 0;2,66046;0,382642;2,65589;0,794998;2,66513;1,72217
955;2;4,2;0,75;19;Estadio 0;2,66034;0,382748;2,65582;0,794898;2,66501;1,72273
955;2;4,2;0,75;19;Estadio 0;2,66039;0,382626;2,65586;0,795381;2,6651;1,72205
955;2;4,2;0,75;19;Estadio 0;2,6605;0,382538;2,65599;0,794857;2,66519;1,72287
955;2;4,2;0,75;19;Estadio 0;2,66061;0,382382;2,65607;0,796097;2,66526;1,71975
957;1;4,8;0,71;17;Estadio 0;2,66049;0,382829;2,65599;0,796075;2,66512;1,72712
957;1;4,8;0,71;17;Estadio 0;2,66049;0,382758;2,65604;0,795922;2,66515;1,72738
957;1;4,8;0,71;17;Estadio 0;2,66031;0,382822;2,65579;0,796316;2,66499;1,72672
957;1;4,8;0,71;17;Estadio 0;2,66055;0,382669;2,65602;0,795191;2,66521;1,72699
957;1;4,8;0,71;17;Estadio 0;2,66062;0,382578;2,6561;0,795405;2,66523;1,72842
957;1;4,8;0,71;17;Estadio 0;2,66054;0,382578;2,65605;0,796602;2,66519;1,72529
957;1;4,8;0,71;17;Estadio 0;2,66036;0,382815;2,65586;0,796242;2,665;1,71824
957;1;4,8;0,71;17;Estadio 0;2,66043;0,382769;2,65585;0,795164;2,66508;1,72086
957;1;4,8;0,71;17;Estadio 0;2,66038;0,382786;2,65588;0,79421;2,66506;1,72464
957;1;4,8;0,71;17;Estadio 0;2,66033;0,382795;2,65585;0,795154;2,66502;1,71767
959;46;4,15;5,5;170;Estadio 5;2,66178;0,381707;2,65768;0,78825;2,66645;1,48075
959;46;4,15;5,5;170;Estadio 5;2,6617;0,381666;2,65758;0,788448;2,66632;1,48282
959;46;4,15;5,5;170;Estadio 5;2,66175;0,38154;2,65766;0,78852;2,66639;1,48188
959;46;4,15;5,5;170;Estadio 5;2,66191;0,381379;2,65793;0,788082;2,66658;1,48218
959;46;4,15;5,5;170;Estadio 5;2,66216;0,381171;2,65805;0,787323;2,66676;1,48003
959;46;4,15;5,5;170;Estadio 5;2,66212;0,381165;2,65791;0,788626;2,66674;1,48154
959;46;4,15;5,5;170;Estadio 5;2,66187;0,381392;2,65765;0,787945;2,66644;1,48005
959;46;4,15;5,5;170;Estadio 5;2,66161;0,381677;2,65743;0,788206;2,66616;1,47954
959;46;4,15;5,5;170;Estadio 5;2,66162;0,381573;2,65745;0,788072;2,66624;1,48118
959;46;4,15;5,5;170;Estadio 5;2,6616;0,381614;2,65757;0,788541;2,66623;1,48113
961;54;4,15;6,6;170;Estadio 5;2,66164;0,381608;2,65748;0,786522;2,66622;1,49627
961;54;4,15;6,6;170;Estadio 5;2,66165;0,38161;2,65742;0,786631;2,66616;1,5049
961;54;4,15;6,6;170;Estadio 5;2,66153;0,381527;2,65743;0,7867;2,66611;1,49115
961;54;4,15;6,6;170;Estadio 5;2,66155;0,381557;2,65748;0,786865;2,66619;1,48442
961;54;4,15;6,6;170;Estadio 5;2,66157;0,381605;2,65744;0,786571;2,6662;1,48141
961;54;4,15;6,6;170;Estadio 5;2,66142;0,381617;2,65728;0,786827;2,66603;1,48378
961;54;4,15;6,6;170;Estadio 5;2,66146;0,381516;2,65731;0,787436;2,66603;1,48465
961;54;4,15;6,6;170;Estadio 5;2,66149;0,38156;2,65736;0,786979;2,66607;1,48582
961;54;4,15;6,6;170;Estadio 5;2,66144;0,381586;2,65726;0,787753;2,66606;1,48661
961;54;4,15;6,6;170;Estadio 5;2,66153;0,38148;2,65729;0,787964;2,66613;1,48554
964;50;3,8;5,18;180;Estadio 5;2,66157;0,381687;2,65737;0,786615;2,66618;1,53136
964;50;3,8;5,18;180;Estadio 5;2,66153;0,381622;2,65733;0,787;2,66621;1,53254
964;50;3,8;5,18;180;Estadio 5;2,66154;0,381572;2,65735;0,786736;2,66605;1,53317
964;50;3,8;5,18;180;Estadio 5;2,66143;0,381583;2,65736;0,78685;2,66615;1,53427
964;50;3,8;5,18;180;Estadio 5;2,66147;0,381634;2,6573;0,786676;2,66605;1,5348
964;50;3,8;5,18;180;Estadio 5;2,66148;0,381548;2,6573;0,787043;2,66604;1,53632
